a52dec 0.8.0-2
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.7.1-1
ruby-logger 1.5.1-3
ruby-minitest 5.20.0-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
run-parts 5.5-1
sbc 2.0-1
sdl2 2.28.5-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.4-1
serd 0.32.2-1
shaderc 2023.7-2
shadow 4.14.3-1
shared-mime-info 2.4-1
slang 2.3.3-2
smbclient 4.19.4-1
snappy 1.1.10-1
sndio 1.9.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.45.0-1
sratom 0.6.16-1
srt 1.5.3-1
sshfs 3.7.3-1
sstp-client 1:1.0.19-1
startup-notification 0.12-8
stoken 0.92-4
strongswan 5.9.13-1
svt-av1 1.8.0-1
svt-hevc 1.5.1-2
sysfsutils 2.1.1-1
systemd 255.3-1
systemd-libs 255.3-1
systemd-sysvcompat 255.3-1
taglib 2.0-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
tevent 1:0.15.0-1
texinfo 7.1-2
thin-provisioning-tools 1.0.10-1
tint2 17.0.2-3
tracker3 3.6.0-3
tree-sitter 0.20.10-2
tslib 1.22-1
twolame 0.4.0-3
tzdata 2023d-1
uchardet 0.0.8-2
unibilium 2.1.1-1
upd72020x-fw 20200826-3
upower 1.90.2-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vapoursynth R65-1
vid.stab 1.1.1-1
vim-runtime 9.1.0000-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vte-common 0.74.2-1
vte3 0.74.2-1
vulkan-headers 1:1.3.276-1
vulkan-icd-loader 1.3.276-1
vulkan-radeon 1:23.3.4-2
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.33-1
wd719x-firmware 1-7
webkit2gtk 2.42.4-2
webkit2gtk-4.1 2.42.4-2
webrtc-audio-processing 0.3.1-4
webrtc-audio-processing-1 1.3-2
which 2.21-6
wildmidi 0.4.5-2
wine 9.1-1
wlroots 0.17.1-1
woff2 1.0.2-4
wpebackend-fdo 1.14.2-1
wvstreams 4.6.1-21
xapp 2.8.2-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.5-1
xdg-utils 1.2.0r28+g9b7d253-1
xfce4-notifyd 0.9.3-1
xfconf 4.18.3-1
xkeyboard-config 2.40-1
xmlsec 1.2.39-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-util-macros 1.20.0-2
xorg-xmessage 1.0.6-1
xorgproto 2023.2-1
xplc 0.3.13-10
xxhash 0.8.2-1
yajl 2.1.0-5
yarn 1.22.21-1
zathura 0.5.4-2
zathura-pdf-poppler 0.3.2-2
zbar 0.23.90-3
zenity 4.0.1-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.4.2-2
zlib 1:1.3.1-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
zziplib 0.13.72-2
